time_key,date,day,month,quarter,year
67,2024-12-09,9,12,4,2024
68,2024-02-13,13,2,1,2024
69,2024-05-15,15,5,2,2024
70,2024-02-16,16,2,1,2024
71,2024-04-18,18,4,2,2024
72,2024-04-23,23,4,2,2024
73,2024-09-27,27,9,3,2024
74,2024-01-26,26,1,1,2024
75,2024-06-18,18,6,2,2024
76,2024-07-02,2,7,3,2024
77,2024-02-15,15,2,1,2024
78,2024-06-14,14,6,2,2024
79,2024-04-09,9,4,2,2024
80,2024-02-07,7,2,1,2024
81,2024-04-02,2,4,2,2024
82,2024-04-12,12,4,2,2024
83,2024-03-15,15,3,1,2024
84,2024-04-29,29,4,2,2024
85,2024-03-14,14,3,1,2024
86,2024-10-10,10,10,4,2024
87,2024-04-15,15,4,2,2024
88,2024-10-14,14,10,4,2024
89,2024-08-16,16,8,3,2024
90,2024-02-22,22,2,1,2024
91,2024-11-12,12,11,4,2024
92,2024-09-06,6,9,3,2024
93,2024-02-23,23,2,1,2024
94,2024-11-20,20,11,4,2024
95,2024-01-05,5,1,1,2024
96,2024-01-29,29,1,1,2024
97,2024-02-14,14,2,1,2024
98,2024-04-05,5,4,2,2024
99,2024-04-04,4,4,2,2024
100,2024-01-19,19,1,1,2024
101,2024-03-26,26,3,1,2024
102,2024-03-06,6,3,1,2024
103,2024-11-29,29,11,4,2024
104,2024-06-24,24,6,2,2024
105,2024-08-27,27,8,3,2024
106,2024-10-09,9,10,4,2024
107,2024-10-24,24,10,4,2024
108,2024-02-27,27,2,1,2024
109,2024-10-16,16,10,4,2024
110,2024-02-21,21,2,1,2024
111,2024-10-23,23,10,4,2024
112,2024-03-01,1,3,1,2024
113,2024-04-25,25,4,2,2024
114,2024-10-08,8,10,4,2024
115,2024-11-13,13,11,4,2024
116,2024-03-12,12,3,1,2024
117,2024-10-18,18,10,4,2024
118,2024-08-08,8,8,3,2024
119,2024-03-13,13,3,1,2024
120,2024-08-01,1,8,3,2024
121,2024-05-30,30,5,2,2024
122,2024-03-18,18,3,1,2024
123,2024-03-22,22,3,1,2024
124,2024-12-17,17,12,4,2024
125,2024-05-01,1,5,2,2024
126,2024-08-21,21,8,3,2024
127,2024-05-08,8,5,2,2024
128,2024-06-26,26,6,2,2024
129,2024-05-06,6,5,2,2024
130,2024-08-22,22,8,3,2024
131,2024-07-09,9,7,3,2024
132,2024-07-23,23,7,3,2024
133,2024-02-01,1,2,1,2024
134,2024-02-02,2,2,1,2024
135,2024-02-26,26,2,1,2024
136,2024-02-08,8,2,1,2024
137,2024-02-06,6,2,1,2024
138,2024-03-20,20,3,1,2024
139,2024-02-09,9,2,1,2024
140,2024-12-10,10,12,4,2024
141,2024-03-19,19,3,1,2024
142,2024-05-17,17,5,2,2024
143,2024-05-13,13,5,2,2024
144,2024-01-25,25,1,1,2024
145,2024-12-19,19,12,4,2024
146,2024-03-07,7,3,1,2024
147,2024-12-30,30,12,4,2024
148,2024-02-19,19,2,1,2024
149,2024-09-18,18,9,3,2024
150,2024-08-05,5,8,3,2024
151,2024-08-07,7,8,3,2024
152,2024-08-19,19,8,3,2024
153,2024-05-02,2,5,2,2024
154,2024-11-14,14,11,4,2024
155,2024-07-16,16,7,3,2024
156,2024-09-04,4,9,3,2024
157,2024-01-08,8,1,1,2024
158,2024-11-06,6,11,4,2024
159,2024-11-07,7,11,4,2024
160,2024-12-06,6,12,4,2024
161,2024-01-04,4,1,1,2024
162,2024-10-22,22,10,4,2024
163,2024-06-06,6,6,2,2024
164,2024-10-15,15,10,4,2024
165,2024-10-21,21,10,4,2024
166,2024-05-07,7,5,2,2024
167,2024-11-01,1,11,4,2024
168,2024-07-12,12,7,3,2024
169,2024-01-03,3,1,1,2024
170,2024-10-31,31,10,4,2024
171,2024-04-03,3,4,2,2024
172,2024-01-02,2,1,1,2024
173,2024-01-22,22,1,1,2024
174,2024-10-30,30,10,4,2024
175,2024-03-28,28,3,1,2024
176,2024-10-29,29,10,4,2024
177,2024-05-24,24,5,2,2024
178,2024-06-10,10,6,2,2024
179,2024-04-08,8,4,2,2024
180,2024-07-30,30,7,3,2024
181,2024-05-10,10,5,2,2024
182,2024-04-26,26,4,2,2024
183,2024-01-23,23,1,1,2024
184,2024-01-17,17,1,1,2024
185,2024-12-23,23,12,4,2024
186,2024-01-18,18,1,1,2024
187,2024-03-27,27,3,1,2024
188,2024-03-21,21,3,1,2024
189,2024-08-09,9,8,3,2024
190,2024-12-02,2,12,4,2024
191,2024-10-11,11,10,4,2024
192,2024-11-15,15,11,4,2024
193,2024-02-29,29,2,1,2024
194,2024-11-18,18,11,4,2024
195,2024-08-12,12,8,3,2024
196,2024-09-19,19,9,3,2024
197,2024-08-28,28,8,3,2024
198,2024-09-24,24,9,3,2024
199,2024-08-30,30,8,3,2024
200,2024-07-01,1,7,3,2024
201,2024-09-16,16,9,3,2024
202,2024-09-17,17,9,3,2024
203,2024-04-24,24,4,2,2024
204,2024-07-11,11,7,3,2024
205,2024-05-14,14,5,2,2024
206,2024-06-20,20,6,2,2024
207,2024-07-15,15,7,3,2024
208,2024-07-04,4,7,3,2024
209,2024-06-21,21,6,2,2024
210,2024-09-30,30,9,3,2024
211,2024-12-12,12,12,4,2024
212,2024-10-17,17,10,4,2024
213,2024-09-05,5,9,3,2024
214,2024-12-27,27,12,4,2024
215,2024-09-20,20,9,3,2024
216,2024-04-11,11,4,2,2024
217,2024-06-15,15,6,2,2024
218,2024-06-17,17,6,2,2024
219,2024-08-03,3,8,3,2024
220,2024-08-15,15,8,3,2024
221,2024-09-01,1,9,3,2024
222,2024-09-12,12,9,3,2024
223,2024-09-26,26,9,3,2024
224,2024-10-03,3,10,4,2024
225,2024-10-04,4,10,4,2024
226,2024-12-04,4,12,4,2024
227,2024-12-16,16,12,4,2024
228,2024-06-07,7,6,2,2024
229,2024-12-18,18,12,4,2024
230,2024-12-03,3,12,4,2024
231,2024-08-13,13,8,3,2024
